Unit_ID,X,LRR,var.LRR,scale,col,Study,ID.case,system,pr.st
1,1.814417493,0.194156014,0.023996855,1.435412939,darkblue,m2_1_BBH007,1,freshwater,-0.255357653
2,1.814417493,0.075349437,0.007073921,1.505991334,darkblue,m2_1_BBH007,2,freshwater,-0.255357653
3,4.281728072,0.693147181,0.001707029,1.5881345,darkblue,m2_1_BBH008,3,freshwater,1.423864831
4,4.281728072,0.464305608,0.003324833,1.549614759,darkblue,m2_1_BBH008,4,freshwater,1.423864831
5,3.844036121,0.720546155,0.006293713,1.512743682,darkblue,m2_1_BBH009,5,freshwater,1.125976851
6,3.844036121,0.625093717,0.015992556,1.458859918,darkblue,m2_1_BBH009,6,freshwater,1.125976851
7,0.459111188,1.018569581,0.011562812,1.477599576,darkblue,m2_1_BBH041,7,freshwater,-1.177763141
8,0.676674529,0.227783931,0.009334375,1.489969653,darkblue,m2_1_BBH042,8,freshwater,-1.029692097
9,1.136751412,0.196710294,0.000820651,1.630453064,darkblue,m2_1_BBH043,9,freshwater,-0.716569196
10,1.136751412,0.028170877,0.000729449,1.637260016,darkblue,m2_1_BBH044,10,freshwater,-0.716569196
11,1.045456549,0.185403223,0.002959028,1.556349489,darkblue,m2_1_BBH045,11,freshwater,-0.778703403
13,0.757164733,0.287682072,0.002664468,1.56240806,darkblue,m2_1_BBH047,13,freshwater,-0.974911413
14,1.381072417,0.127833372,0.001778987,1.585748783,darkblue,m2_1_BBH048,14,freshwater,-0.550287201
15,1.263106667,0.417299566,0.008568225,1.494918095,darkblue,m2_1_BBH049,15,freshwater,-0.630573299
16,1.163948364,0.510825624,0.010739883,1.481865449,darkblue,m2_1_BBH050,16,freshwater,-0.698059271
17,1.480045408,0.547965171,0.002711835,1.56138992,darkblue,m2_1_BBH051,17,freshwater,-0.48292735
18,1.017095431,0.773189888,0.003679041,1.543765572,darkblue,m2_1_BBH052,18,freshwater,-0.798005645
19,1.882731247,0.994252273,0.001373776,1.600683719,darkblue,m2_1_BBH053,19,freshwater,-0.208864117
20,1.157157433,0.421213465,0.000933796,1.622990183,darkblue,m2_1_BBH054,20,freshwater,-0.702681099
21,1.528615768,0.302280872,0.003184285,1.552110367,darkblue,m2_1_BBH055,21,freshwater,-0.449870936
22,1.528615768,0.526093096,0.002329438,1.570172355,darkblue,m2_1_BBH056,22,freshwater,-0.449870936
23,1.768149604,0.415515444,0.001001819,1.618927453,darkblue,m2_1_BBH057,23,freshwater,-0.286847032
24,1.222039386,0.245122458,0.005073472,1.525196707,darkblue,m2_1_BBH058,24,freshwater,-0.658523206
25,1.444821047,-0.024692613,0.00011418,1.744413329,darkblue,m2_1_BBH059,25,freshwater,-0.506900635
26,1.444821047,0.148420005,0.001030773,1.617281208,darkblue,m2_1_BBH060,26,freshwater,-0.506900635
27,1.444821047,0.080042708,0.007846242,1.500004211,darkblue,m2_1_BBH062,27,freshwater,-0.506900635
28,1.48102162,0.217064505,6.96E-05,1.773016137,darkblue,m2_1_BBH063,28,freshwater,-0.482262952
29,1.633756911,0.42073258,0.000765621,1.634463584,darkblue,m2_1_BBH064,29,freshwater,-0.378313114
30,1.748012124,0.15415068,0.004745108,1.529062818,darkblue,m2_1_BBH065,30,freshwater,-0.300552364
31,1.748012124,0.129211731,0.003546183,1.545890723,darkblue,m2_1_BBH066,31,freshwater,-0.300552364
32,1.748012124,0.211309094,0.003014147,1.555283106,darkblue,m2_1_BBH067,32,freshwater,-0.300552364
33,1.748012124,-0.171850257,0.010991241,1.480528742,darkblue,m2_1_BBH068,33,freshwater,-0.300552364
34,1.748012124,0.496436886,0.000246674,1.69990611,darkblue,m2_1_BBH069,34,freshwater,-0.300552364
